Original Filename	Sample Name	Glucose Concentration	Time	Component Name	Mass Info	Area	Modified
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	124/ 80 M-1 taurine	124.0 / 80.0	1415563.2	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	128/ 80 M-1 d4 taurine	128.0 / 80.0	293530	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	Citrate 191/111	191.0 / 111.0	7698357.072	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	Citrate 192/111	192.0 / 111.0	103859.05	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	Citrate 192/112	192.0 / 112.0	408028.55	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	Citrate 193/112	193.0 / 112.0	5970.184039	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	Citrate 193/113	193.0 / 113.0	58172.37132	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	Citrate 194/113	194.0 / 113.0	N/A	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	Citrate 194/114	194.0 / 114.0	2364	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	Citrate 195/114	195.0 / 114.0	N/A	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	Citrate 195/115	195.0 / 115.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	Citrate 196/115	196.0 / 115.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	Citrate 196/116	196.0 / 116.0	N/A	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	Citrate 197/116	197.0 / 116.0	N/A	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	Citrate 191/67	191.0 / 67.0	514975.58	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	Citrate 192/67	192.0 / 67.0	11413.82693	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	Citrate 192/68	192.0 / 68.0	22568.38	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 426)"	A. [13C-glc] G2.5 0min	G2.5	0min	Citrate 193/67	193.0 / 67.0	4664.96	FALSE
